region,sector,0
NCL,Retail Trade,7.171737208358862e-08
NCL,Hotels and Restraurants,7.093326670224038e-08
NCL,Transport,5.527749734533313e-07
NCL,Post and Telecommunications,1.5798439686215685e-07
NCL,Finacial Intermediation and Business Activities,5.973197842399997e-07
NCL,Public Administration,3.7856050611657514e-08
NCL,"Education, Health and Other Services",1.9030105559004402e-07
NCL,Private Households,2.59375686080851e-08
NCL,Others,1.53136465155187e-08
NCL,Re-export & Re-import,3.3048174501206963e-12
SMR,Agriculture,1.6588907345814844e-09
SMR,Fishing,2.6060872609051134e-10
SMR,Mining and Quarrying,1.5637285525193511e-09
SMR,Food & Beverages,2.8818865625742686e-08
SMR,Textiles and Wearing Apparel,1.9343898998228882e-08
SMR,Wood and Paper,4.756478922162906e-08
SMR,"Petroleum, Chemical and Non-Metallic Mineral Products",7.420668827748814e-08
SMR,Metal Products,5.7553024029341586e-08
SMR,Electrical and Machinery,1.0851189573562365e-07
SMR,Transport Equipment,3.180811887775171e-08
SMR,Other Manufacturing,2.1339767899565735e-08
SMR,Recycling,1.4631562264861943e-09
SMR,"Electricity, Gas and Water",5.328076612377979e-09
SMR,Construction,4.9914389514489785e-08
SMR,Maintenance and Repair,1.0324459792515926e-08
SMR,Wholesale Trade,1.0153502125064159e-07
SMR,Retail Trade,8.552969334662152e-08
SMR,Hotels and Restraurants,5.546328295984523e-08
SMR,Transport,4.825553361660816e-08
SMR,Post and Telecommunications,4.915401924536488e-08
SMR,Finacial Intermediation and Business Activities,1.4102630338115855e-07
SMR,Public Administration,5.867412958837725e-08
SMR,"Education, Health and Other Services",1.0390071444672571e-07
SMR,Private Households,6.6001320541158095e-09
SMR,Others,2.1996281429823643e-09
SMR,Re-export & Re-import,1.8732969338981981e-13
TTO,Agriculture,1.6977545556113607e-08
TTO,Fishing,5.524276716913426e-09
TTO,Mining and Quarrying,8.028803994447099e-07
TTO,Food & Beverages,4.6442576943123725e-08
TTO,Textiles and Wearing Apparel,6.957983601940536e-08
TTO,Wood and Paper,2.2804498228497062e-07
TTO,"Petroleum, Chemical and Non-Metallic Mineral Products",6.509657386180122e-07
TTO,Metal Products,5.986277971470497e-07
TTO,Electrical and Machinery,5.193891674059457e-07
TTO,Transport Equipment,1.0702566929415286e-07
TTO,Other Manufacturing,6.901502076952655e-08
TTO,Recycling,1.0447006830672586e-08
TTO,"Electricity, Gas and Water",9.86425086492309e-08
TTO,Construction,5.72320920754492e-07
TTO,Maintenance and Repair,5.4786099529271184e-08
TTO,Wholesale Trade,9.605766579739897e-07
TTO,Retail Trade,2.409734368742681e-07
TTO,Hotels and Restraurants,1.2120751743711032e-07
TTO,Transport,3.4175279315404657e-07
TTO,Post and Telecommunications,2.610583370106432e-07
TTO,Finacial Intermediation and Business Activities,9.635652634591466e-07
TTO,Public Administration,2.1930320431374505e-08
TTO,"Education, Health and Other Services",1.0418607720253936e-07
TTO,Private Households,5.309215207040429e-09
TTO,Others,5.3161024836632415e-09
TTO,Re-export & Re-import,2.175452454484206e-12
USA,Agriculture,7.671918644189663e-05
USA,Fishing,2.0346808884715207e-06
