region,sector,0
TCD,Transport Equipment,1.4570876657014308e-06
TCD,Other Manufacturing,9.354537447397627e-07
TCD,Recycling,6.490786591770251e-08
TCD,"Electricity, Gas and Water",1.5166117275022136e-06
TCD,Construction,4.041253672621826e-06
TCD,Maintenance and Repair,7.491163036897803e-06
TCD,Wholesale Trade,2.3661648590426723e-05
TCD,Retail Trade,1.3274988760618383e-05
TCD,Hotels and Restraurants,1.2007150165662034e-05
TCD,Transport,1.9708577529581682e-05
TCD,Post and Telecommunications,8.899832642177326e-06
TCD,Finacial Intermediation and Business Activities,1.790448712227557e-05
TCD,Public Administration,2.1305690704572777e-06
TCD,"Education, Health and Other Services",6.485865488470554e-06
TCD,Private Households,1.2423446610175912e-06
TCD,Others,7.961644124254176e-08
TCD,Re-export & Re-import,5.645471513392568e-10
AFG,Agriculture,6.153910099465107e-05
AFG,Fishing,2.444312189560738e-06
AFG,Mining and Quarrying,1.496948849661912e-07
AFG,Food & Beverages,8.671331524565402e-07
AFG,Textiles and Wearing Apparel,1.6339306934724822e-06
AFG,Wood and Paper,1.0131618109955727e-06
AFG,"Petroleum, Chemical and Non-Metallic Mineral Products",2.1010156968926284e-06
AFG,Metal Products,9.901638353160437e-07
AFG,Electrical and Machinery,1.50595090031993e-06
AFG,Transport Equipment,2.6196502497345014e-07
AFG,Other Manufacturing,3.458210298181745e-07
AFG,Recycling,3.207509444448661e-08
AFG,"Electricity, Gas and Water",3.650906984322284e-07
AFG,Construction,4.212454132246937e-06
AFG,Maintenance and Repair,4.910630692342963e-07
AFG,Wholesale Trade,3.353195909065288e-06
AFG,Retail Trade,7.388547645239728e-07
AFG,Hotels and Restraurants,8.313813439428867e-07
AFG,Transport,1.9403607643519716e-05
AFG,Post and Telecommunications,6.656287560247642e-06
AFG,Finacial Intermediation and Business Activities,5.647174659851446e-06
AFG,Public Administration,3.13944328214251e-07
AFG,"Education, Health and Other Services",1.1227671698112224e-06
AFG,Private Households,1.6664882737509825e-07
AFG,Others,2.653864642002253e-08
AFG,Re-export & Re-import,2.455156303555601e-11
SOM,Agriculture,7.413988327754081e-08
SOM,Fishing,1.9155983818007285e-07
SOM,Mining and Quarrying,6.33775156809718e-10
SOM,Food & Beverages,1.5482569283134726e-09
SOM,Textiles and Wearing Apparel,1.8495125943534951e-09
SOM,Wood and Paper,1.930470995703944e-09
SOM,"Petroleum, Chemical and Non-Metallic Mineral Products",2.592423893493476e-09
SOM,Metal Products,2.6573590136870235e-09
SOM,Electrical and Machinery,2.750624361030956e-09
SOM,Transport Equipment,7.560463529937091e-10
SOM,Other Manufacturing,8.947970518583236e-10
SOM,Recycling,1.1108066705017742e-10
SOM,"Electricity, Gas and Water",7.993609567736025e-10
SOM,Construction,7.639046651247126e-09
SOM,Maintenance and Repair,1.0477839495813347e-08
SOM,Wholesale Trade,1.7496667867569444e-08
SOM,Retail Trade,8.428789790342611e-09
SOM,Hotels and Restraurants,6.626219685493346e-09
SOM,Transport,1.556819435012189e-08
SOM,Post and Telecommunications,1.3184728800460572e-08
SOM,Finacial Intermediation and Business Activities,1.5019390791265845e-08
SOM,Public Administration,2.454170509097782e-09
SOM,"Education, Health and Other Services",4.383472443628467e-09
SOM,Private Households,3.890435283981662e-09
SOM,Others,2.4745696593607436e-10
SOM,Re-export & Re-import,3.7631394338644706e-11
COD,Agriculture,0.0013171531615905124
COD,Fishing,4.5658756514726984e-05
COD,Mining and Quarrying,0.0015001737513365783
COD,Food & Beverages,6.203163557284143e-05
COD,Textiles and Wearing Apparel,1.5971946929673667e-05
COD,Wood and Paper,0.00017777072664324446
COD,"Petroleum, Chemical and Non-Metallic Mineral Products",0.00013134661711419298
COD,Metal Products,0.00023504235350641162
COD,Electrical and Machinery,0.00021894654508100383
COD,Transport Equipment,3.533914324127515e-05
COD,Other Manufacturing,3.236632905944225e-05
COD,Recycling,4.117745284503105e-06
COD,"Electricity, Gas and Water",8.090133037893763e-05
COD,Construction,5.961778810902241e-05
COD,Maintenance and Repair,1.831061292364048e-05
COD,Wholesale Trade,0.0003741739788394352
COD,Retail Trade,6.940401219008377e-05
COD,Hotels and Restraurants,0.00018483881070378245
COD,Transport,0.0011067591181197012
COD,Post and Telecommunications,0.0002939864905008999
COD,Finacial Intermediation and Business Activities,0.0004473999303799293
COD,Public Administration,1.2159541699099639e-05
COD,"Education, Health and Other Services",9.189345654983497e-05
COD,Private Households,3.3166209168627016e-06
COD,Others,1.4884668275683291e-06
COD,Re-export & Re-import,2.121100062851741e-09
BDI,Agriculture,1.2791999021276727e-05
BDI,Fishing,4.192976675415068e-06
BDI,Mining and Quarrying,1.3758599867035113e-07
BDI,Food & Beverages,1.1912313083251546e-07
BDI,Textiles and Wearing Apparel,6.876809295160122e-07
BDI,Wood and Paper,6.072991211305911e-07
BDI,"Petroleum, Chemical and Non-Metallic Mineral Products",1.0687111904425145e-06
BDI,Metal Products,1.4220783328842548e-06
BDI,Electrical and Machinery,1.1721900250702755e-06
BDI,Transport Equipment,4.6581932075528546e-07
BDI,Other Manufacturing,6.736283094956826e-07
BDI,Recycling,7.543478157406203e-08
BDI,"Electricity, Gas and Water",1.2633109296733737e-07
BDI,Construction,2.8601375257176826e-06
BDI,Maintenance and Repair,7.105751335650214e-07
BDI,Wholesale Trade,1.9319813455231147e-06
BDI,Retail Trade,9.749727270142122e-07
BDI,Hotels and Restraurants,5.01379192527242e-07
BDI,Transport,2.1958630415397867e-06
BDI,Post and Telecommunications,1.7607213481273318e-06
BDI,Finacial Intermediation and Business Activities,2.9857506578509313e-06
BDI,Public Administration,1.1330944112435518e-06
BDI,"Education, Health and Other Services",1.856003354297791e-06
BDI,Private Households,6.60490081825986e-07
BDI,Others,6.351211319923723e-08
BDI,Re-export & Re-import,1.4776951306686576e-10
SLE,Agriculture,0.00010075820720062493
SLE,Fishing,1.2883205835380023e-05
SLE,Mining and Quarrying,7.044206376607456e-07
SLE,Food & Beverages,1.6516740899098387e-06
SLE,Textiles and Wearing Apparel,1.052249007913506e-06
SLE,Wood and Paper,1.0043693878031082e-06
SLE,"Petroleum, Chemical and Non-Metallic Mineral Products",2.1804518685729073e-06
SLE,Metal Products,2.2788354366117216e-06
SLE,Electrical and Machinery,6.309384313068996e-06
SLE,Transport Equipment,5.540329166152526e-07
SLE,Other Manufacturing,8.055306909616214e-07
SLE,Recycling,2.1341372855209742e-08
SLE,"Electricity, Gas and Water",1.3873498026078788e-06
SLE,Construction,3.203751339719015e-06
SLE,Maintenance and Repair,1.062764763120424e-06
SLE,Wholesale Trade,8.224306383947441e-06
SLE,Retail Trade,4.011110457953538e-06
SLE,Hotels and Restraurants,1.409707099679451e-06
SLE,Transport,2.3177839117616766e-05
SLE,Post and Telecommunications,6.362946714893244e-06
SLE,Finacial Intermediation and Business Activities,8.385630967123285e-06
SLE,Public Administration,3.904335171138475e-06
SLE,"Education, Health and Other Services",6.3774279946442285e-06
SLE,Private Households,2.9923781786225185e-07
SLE,Others,8.894935662875635e-08
SLE,Re-export & Re-import,1.0342258284586419e-09
YEM,Agriculture,1.0716857836349581e-05
YEM,Fishing,6.110349684259669e-05
